damcode,Day,Model,Training Method,NSE,KGE,RMSE,PBIAS
1003110,1,lstm,nopre,0.8015128715315912,0.8201607846127745,157.51702667795584,-2.706665012215492
1003110,1,lstm,onlypre,0.7792247746611228,0.7859639376592884,166.12557583606375,-6.705874854339903
1003110,1,lstm,fine,0.6428492011183768,0.7753651064088154,211.293989844004,-4.495289038154341
1003110,1,transformer,nopre,0.6587463816151126,0.8012383073343099,206.53799821101907,-1.5881512294469444
1003110,1,transformer,onlypre,0.7198757507527134,0.8329043939718943,187.1270985406731,9.436089150799559
1003110,1,transformer,fine,0.7095291611670611,0.8070051698482337,190.551600296175,12.565349536633892
1003110,2,lstm,nopre,0.7575689618882895,0.7729538748938156,174.0818518044758,-8.742349419107068
1003110,2,lstm,onlypre,0.7606540535031545,0.8754519373203398,172.97065327915902,-0.4188445387269488
1003110,2,lstm,fine,0.5051994763115191,0.6623988778916854,248.6992425627912,-8.251005318109216
1003110,2,transformer,nopre,0.6263868852261434,0.7698330796926313,216.10780070606086,4.733794958400618
1003110,2,transformer,onlypre,0.734618914822489,0.8335609937200729,182.13540261694115,10.092850782064398
1003110,2,transformer,fine,0.6686956895183043,0.7829460185080594,203.5039908575563,3.559318024977095
1003110,3,lstm,nopre,0.7459880011212848,0.7291164021772646,178.18901480947397,-12.097796116730633
1003110,3,lstm,onlypre,0.764560696403733,0.8615847123555903,171.55101536817105,-4.6355632190286284
1003110,3,lstm,fine,0.5197380291851721,0.6727235420278965,245.01513369791977,-8.894823752192101
1003110,3,transformer,nopre,0.6019547067733784,0.7546747751428251,223.05915726593327,11.298215324665703
1003110,3,transformer,onlypre,0.7108251748748937,0.8036704441423436,190.1227342365711,13.099934657133035
1003110,3,transformer,fine,0.6766032035073367,0.7694044641262534,201.0581431731529,3.3418113836092926
1003110,4,lstm,nopre,0.7296161756304227,0.754566715172463,183.84175781039266,-10.241100212993489
1003110,4,lstm,onlypre,0.7645017416343057,0.8510760821569906,171.57249249062215,-6.42547150018446
1003110,4,lstm,fine,0.5207283585439091,0.6668168440272435,244.76238529011545,-8.29438284295149
1003110,4,transformer,nopre,0.5190904895537913,0.7217079787345315,245.1802556266873,15.469463778876314
