kst,precip_mm_100,tmp_min_100,tmp_max_100,tmp_avg_100,precip_mm_105,tmp_min_105,tmp_max_105,tmp_avg_105
1/1/1972,0,-9.2,-1.6,-4.4,,-0.9,6.3,3.1
1/2/1972,,-15.3,-0.9,-8.1,,-3.8,3.9,-0.4
1/3/1972,,-14.4,0,-5.5,,-2.1,8.8,3
1/4/1972,6.7,-3.9,1,-1,3.9,4.6,7.3,5.2
1/5/1972,4.9,-4,1,-1.7,5.1,1.1,7.1,3.6
1/6/1972,4.8,-5.2,-3.4,-4.3,2.3,0.6,2.5,1.4
1/7/1972,,-17.4,0.7,-8.3,,-1,9.4,3.1
1/8/1972,,-17.3,2.1,-8.8,,-0.5,8.4,2.6
1/9/1972,,-7.6,5.6,-2.4,,2,8.6,5
1/10/1972,9.5,0.1,1.1,0.5,7.4,5,6.8,5.6
1/11/1972,12.6,0.1,1.2,0.7,15.7,4.9,7.4,5.9
1/12/1972,6,-2.7,1.5,-0.3,17.9,3.3,6.6,4.7
1/13/1972,0.2,-7.8,-2.6,-3.5,,1.6,4.9,3.5
1/14/1972,,-12.9,-0.2,-6.1,,-0.2,6.9,2.7
1/15/1972,24.3,-14.1,-1.9,-5.7,28.3,-0.8,3.8,1.5
1/16/1972,,-17.5,-2.9,-7.3,,-1.7,6,1.6
1/17/1972,,-22,0,-11,,-2.9,8.6,1.8
1/18/1972,,-5.8,0,-3.8,,2.7,8.9,5.6
1/19/1972,3.6,-5.4,5.8,-0.8,1.5,3.5,12.8,6.8
1/20/1972,3.3,-2.1,0,-1.2,4.9,2,4.2,3.4
1/21/1972,2.3,-14,-1,-7.7,0,-5.3,5.6,-0.2
1/22/1972,,-14.2,-1.1,-7.9,,-5.1,7,1.1
1/23/1972,15.5,-5.2,-1.2,-3.8,12.5,-0.2,4,1
1/24/1972,15,-2.3,1.1,-1,18.7,0.4,2.6,1.1
1/25/1972,14.1,-9.3,-1.7,-4.7,11.2,-2.1,1.5,0.1
1/26/1972,4,-16.8,-5.7,-9.9,3,-4.6,0.4,-2.5
1/27/1972,,-13.4,-8.4,-11.1,,-5.2,0.2,-3
1/28/1972,,-16.6,-6.2,-11.4,,-5.7,2.4,-2.4
1/29/1972,0.2,-20.7,-3.2,-9.7,,-4.5,3.5,-0.4
1/30/1972,,-10.1,2.4,-5.8,,-1.3,7.3,1.6
1/31/1972,18.6,-10.1,2.2,-1.9,18.3,-0.1,4.5,0.8
2/1/1972,0.4,-2,2.4,-0.4,1.4,1.3,4.6,2.1
2/2/1972,,-10.7,-2,-6.3,,-1.3,4.2,1.4
2/3/1972,0,-16.3,-3.8,,,-4,2.9,-1
2/4/1972,9.8,-5.6,-1.7,-3.5,15.5,-1.6,2.1,-0.2
2/5/1972,10.4,-6.6,-3.8,-5.2,11.6,-1.2,1,0
2/6/1972,10.3,-6.3,-3.5,-5.1,11.1,-1.3,1.5,-0.5
2/7/1972,3.3,-6.3,-3.4,-5.3,5.1,-1.1,1.4,-0.4
2/8/1972,1.1,-12.6,-4.8,-7.6,2.3,-2.7,3.1,-0.8
2/9/1972,0.2,-12.2,-1.7,-7.5,0,-2.9,2.9,-0.3
2/10/1972,0.6,-8.6,-1.2,-4.9,,-0.3,3.8,0.9
2/11/1972,12.2,-9.7,-3,-5,28.2,-0.5,2.4,1
2/12/1972,0,-11,2,-3.3,,-2,4.1,0.7
2/13/1972,2.5,-10.2,-0.6,-4.2,0.6,-1.9,5.7,1.1
2/14/1972,,-14.2,-3.2,-9.2,,-2.9,5.6,-0.4
2/15/1972,,-17.7,3.4,-6.8,,-3.1,5.4,0.6
