WaterYear,Date,Streamflow(cfs)
1933,8/26/1933,880
1934,8/4/1934,404
1935,9/8/1935,"1,090"
1936,2/16/1936,774
1937,1/25/1937,418
1938,9/23/1938,"1,060"
1939,8/21/1939,669
1940,9/2/1940,"7,360"
1941,3/13/1941,343
1942,8/20/1942,298
1943,2/16/1943,352
1944,4/25/1944,504
1945,7/21/1945,348
1946,12/31/1945,680
1947,5/26/1947,311
1948,8/4/1948,645
1949,2/1/1949,599
1950,9/12/1950,415
1951,11/29/1950,430
1952,8/7/1952,776
1953,3/16/1953,604
1954,12/15/1953,410
1955,8/14/1955,580
1956,3/19/1956,326
1957,11/6/1956,458
1958,8/27/1958,"1,200"
1959,7/16/1959,634
1960,9/14/1960,"1,370"
1961,4/16/1961,574
1962,4/11/1962,405
1963,3/9/1963,385
1964,5/2/1964,355
1965,2/12/1965,212
1966,2/14/1966,234
1967,8/28/1967,670
1968,1/17/1968,780
1969,7/30/1969,856
1970,4/18/1970,672
1971,8/29/1971,"1,550"
1972,6/23/1972,659
1973,2/4/1973,783
1974,12/23/1973,379
1975,7/15/1975,"1,360"
1976,10/20/1975,517
1977,8/24/1977,211
1978,1/29/1978,831
1979,2/28/1979,"1,510"
1980,10/14/1979,421
1981,5/16/1981,242
1982,4/30/1982,366
1983,6/21/1983,801
1984,4/7/1984,834
1985,9/28/1985,554
1986,4/19/1986,342
1987,12/27/1986,624
1988,2/15/1988,309
1989,8/20/1989,"1,140"
1990,10/22/1989,483
1991,1/14/1991,544
1992,6/7/1992,3902
1993,3/21/1993,390
1994,3/31/1994,630
1995,3/11/1995,168
1996,1/22/1996,453
1997,12/17/1996,660
1998,3/23/1998,478
1999,9/19/1999,468
2000,3/24/2000,611
2001,4/1/2001,374
2002,6/14/2002,191
2003,6/21/2003,448
2004,12/13/2003,557
2005,4/5/2005,525
2006,7/8/2006,400
2007,4/17/2007,"1,640"
2008,3/9/2008,227
2009,12/14/2008,299
2010,3/15/2010,"1,050"
2011,8/29/2011,"3,960"
2012,12/10/2011,556
2013,6/10/2013,533
2014,5/2/2014,862
2015,7/17/2015,824
2016,7/29/2016,463
2017,7/26/2017,739
2018,2/13/2018,730
2019,12/30/2018,718
2020,8/9/2020,680
2021,11/13/2020,607
2022,4/8/2022,297
2023,5/1/2023,730
,,
?,,
  Peak Streamflow Qualification Codes.,,
