date,precip_mm,prcp_d99,prcp_dur_hr,prcp_60m_max,prcp_60m_max_time,prcp_10m_max,prcp_10m_max_time,prcp_intensity_max,prcp_intensity_max_time,temp_min,temp_max,temp_avg,station_id
2001-01-01,1.2,1.2,2.38,,-9,,-9,-99.9,-999,-9.5,-0.8,-4.5,108
2001-01-02,,,-9.0,,-9,,-9,,-9,-9.1,-0.2,-4.3,108
2001-01-03,,,-9.0,,-9,,-9,,-9,-10.4,-5.2,-8.3,108
2001-01-04,,,-9.0,,-9,,-9,,-9,-12.5,-6.7,-9.8,108
2001-01-05,0.0,0.0,0.53,,-9,,-9,-99.9,-999,-11.0,-2.2,-6.8,108
2001-01-06,,3.8,-9.0,,-9,,-9,-99.9,-999,-8.8,0.9,-2.9,108
2001-01-07,21.7,17.9,13.17,,-9,,-9,-99.9,-999,-0.9,1.1,0.4,108
2001-01-08,,0.7,-9.0,,-9,,-9,-99.9,-999,-0.2,4.9,2.0,108
2001-01-09,8.9,8.2,9.15,,-9,,-9,-99.9,-999,-6.0,3.0,-0.4,108
2001-01-10,0.3,0.5,0.88,,-9,,-9,-99.9,-999,-9.1,-1.5,-5.0,108
2001-01-11,0.2,,0.6,,-9,,-9,-99.9,-999,-14.4,-2.2,-8.0,108
2001-01-12,,,-9.0,,-9,,-9,,-9,-15.0,-7.6,-10.7,108
2001-01-13,,,-9.0,,-9,,-9,,-9,-15.0,-6.7,-10.2,108
2001-01-14,,,-9.0,,-9,,-9,,-9,-17.7,-11.3,-15.3,108
2001-01-15,,,-9.0,,-9,,-9,,-9,-18.6,-12.4,-15.5,108
2001-01-16,,,-9.0,,-9,,-9,,-9,-16.8,-10.0,-13.4,108
2001-01-17,0.0,0.0,3.23,,-9,,-9,-99.9,-999,-15.1,-4.0,-8.4,108
2001-01-18,0.0,,3.5,,-9,,-9,-99.9,-999,-4.4,2.5,-0.9,108
2001-01-19,0.0,1.2,0.58,,-9,,-9,-99.9,-999,-3.3,3.8,0.3,108
2001-01-20,1.2,,6.95,,-9,,-9,-99.9,-999,-2.1,3.5,0.4,108
2001-01-21,,,-9.0,,-9,,-9,,-9,-3.9,1.0,-1.5,108
2001-01-22,,,-9.0,,-9,,-9,,-9,-3.9,2.5,-1.4,108
2001-01-23,,,-9.0,,-9,,-9,,-9,-6.7,1.7,-2.8,108
2001-01-24,,,-9.0,,-9,,-9,,-9,-4.3,3.9,0.3,108
2001-01-25,,,-9.0,,-9,,-9,,-9,-0.2,6.8,3.0,108
2001-01-26,0.0,1.8,0.73,,-9,,-9,-99.9,-999,0.0,2.8,1.2,108
2001-01-27,1.9,0.1,11.18,,-9,,-9,-99.9,-999,-1.8,1.8,0.0,108
2001-01-28,,,-9.0,,-9,,-9,,-9,-6.9,0.5,-3.0,108
2001-01-29,0.0,0.0,0.93,,-9,,-9,-99.9,-999,-8.0,1.8,-2.6,108
2001-01-30,,,-9.0,,-9,,-9,,-9,-2.7,2.6,-0.5,108
2001-01-31,4.0,4.0,7.35,,-9,,-9,-99.9,-999,-2.8,1.9,-0.3,108
2001-02-01,,,-9.0,,-9,,-9,,-9,-9.1,0.6,-5.8,108
2001-02-02,0.1,0.1,3.23,,-9,,-9,-99.9,-999,-10.4,-0.9,-4.9,108
2001-02-03,,,-9.0,,-9,,-9,,-9,-3.4,3.7,0.1,108
2001-02-04,,,-9.0,,-9,,-9,,-9,-1.2,5.2,1.3,108
2001-02-05,,,-9.0,,-9,,-9,,-9,-2.1,5.7,1.5,108
2001-02-06,,,-9.0,,-9,,-9,,-9,-0.7,6.3,2.6,108
2001-02-07,,,-9.0,,-9,,-9,,-9,-8.1,1.7,-2.6,108
2001-02-08,0.1,0.4,3.28,,-9,,-9,-99.9,-999,,-0.8,-4.9,108
2001-02-09,0.5,0.2,2.63,,-9,,-9,-99.9,-999,-4.7,4.0,-0.9,108
2001-02-10,,,-9.0,,-9,,-9,,-9,-3.8,1.7,-1.4,108
2001-02-11,,,-9.0,,-9,,-9,,-9,-6.5,0.1,-3.5,108
2001-02-12,,,-9.0,,-9,,-9,,-9,-6.6,0.0,-4.2,108
2001-02-13,,,-9.0,,-9,,-9,,-9,-6.4,-0.1,-3.9,108
2001-02-14,,0.7,-9.0,,-9,,-9,-99.9,-999,-6.7,-0.1,-3.6,108
2001-02-15,23.2,22.5,11.92,,-9,,-9,-99.9,-999,-5.2,0.1,-3.4,108
2001-02-16,,,-9.0,,-9,,-9,,-9,-8.6,-3.6,-6.1,108
2001-02-17,,0.0,-9.0,,-9,,-9,-99.9,-999,-7.0,0.7,-2.3,108
2001-02-18,0.0,,0.67,,-9,,-9,-99.9,-999,-0.6,5.6,2.7,108
2001-02-19,,,-9.0,,-9,,-9,,-9,1.3,7.1,3.5,108
2001-02-20,,,-9.0,,-9,,-9,,-9,-0.7,9.8,4.1,108
2001-02-21,,,-9.0,,-9,,-9,,-9,3.7,9.2,5.9,108
2001-02-22,,,-9.0,,-9,,-9,,-9,1.7,12.2,6.4,108
2001-02-23,8.2,11.7,12.87,,-9,,-9,-99.9,-999,0.4,6.2,3.5,108
2001-02-24,4.9,1.4,15.23,,-9,,-9,-99.9,-999,-2.2,2.3,0.0,108
2001-02-25,,,-9.0,,-9,,-9,,-9,-4.7,3.8,-0.5,108
2001-02-26,,,-9.0,,-9,,-9,,-9,-3.1,6.9,1.9,108
2001-02-27,7.7,8.7,6.72,,-9,,-9,-99.9,-999,-0.8,8.1,3.0,108
2001-02-28,1.0,,2.75,,-9,,-9,-99.9,-999,0.1,8.5,3.4,108
2001-03-01,,,-9.0,,-9,,-9,,-9,1.7,8.5,4.9,108
2001-03-02,,,-9.0,,-9,,-9,,-9,0.6,8.4,4.2,108
2001-03-03,11.2,11.3,5.1,,-9,,-9,-99.9,-999,-0.1,9.3,3.4,108
2001-03-04,0.8,0.7,4.63,,-9,,-9,-99.9,-999,-3.5,0.2,-1.4,108
2001-03-05,,,-9.0,,-9,,-9,,-9,-1.8,5.5,1.9,108
2001-03-06,,,-9.0,,-9,,-9,,-9,0.5,8.1,3.4,108
2001-03-07,,,-9.0,,-9,,-9,,-9,-4.0,1.7,-1.6,108
2001-03-08,,,-9.0,,-9,,-9,,-9,-6.1,-0.9,-3.6,108
2001-03-09,,,-9.0,,-9,,-9,,-9,-5.3,3.6,-0.1,108
2001-03-10,,,-9.0,,-9,,-9,,-9,-1.3,4.9,2.1,108
2001-03-11,,,-9.0,,-9,,-9,,-9,-3.6,5.4,0.6,108
2001-03-12,,,-9.0,,-9,,-9,,-9,-2.2,6.4,2.1,108
2001-03-13,,,-9.0,,-9,,-9,,-9,-1.5,11.5,4.9,108
2001-03-14,1.0,1.0,2.23,,-9,,-9,-99.9,-999,3.3,12.5,8.0,108
2001-03-15,,,-9.0,,-9,,-9,,-9,0.1,9.2,4.0,108
2001-03-16,,0.0,-9.0,,-9,,-9,-99.9,-999,-0.5,12.0,6.0,108
2001-03-17,0.0,0.0,1.87,,-9,,-9,-99.9,-999,5.1,10.3,7.5,108
2001-03-18,,,-9.0,,-9,,-9,,-9,3.5,12.5,7.7,108
2001-03-19,,,-9.0,,-9,,-9,,-9,4.3,12.9,8.2,108
2001-03-20,,,-9.0,,-9,,-9,,-9,7.3,15.7,11.3,108
2001-03-21,,0.0,-9.0,,-9,,-9,-99.9,-999,5.6,19.4,12.6,108
2001-03-22,0.0,,0.72,,-9,,-9,-99.9,-999,6.9,15.2,11.3,108
2001-03-23,,,-9.0,,-9,,-9,,-9,4.7,17.1,10.6,108
2001-03-24,,,-9.0,,-9,,-9,,-9,6.2,21.0,13.4,108
2001-03-25,,,-9.0,,-9,,-9,,-9,3.2,14.3,9.9,108
2001-03-26,,,-9.0,,-9,,-9,,-9,0.4,7.9,3.5,108
2001-03-27,2.4,5.1,4.77,,-9,,-9,-99.9,-999,0.2,7.5,2.9,108
2001-03-28,2.7,0.0,5.67,,-9,,-9,-99.9,-999,0.4,9.5,3.9,108
2001-03-29,0.0,0.0,2.1,,-9,,-9,-99.9,-999,0.2,8.1,3.3,108
2001-03-30,0.0,0.0,0.53,,-9,,-9,-99.9,-999,2.0,9.4,4.5,108
2001-03-31,,,-9.0,,-9,,-9,,-9,1.1,11.3,5.2,108
2001-04-01,,,-9.0,,-9,,-9,,-9,2.3,11.7,6.7,108
2001-04-02,0.0,0.0,3.87,0.0,-9,0.0,-9,,-9,4.9,8.8,7.0,108
2001-04-03,,,-9.0,,-9,,-9,,-9,2.1,15.0,8.9,108
2001-04-04,,,-9.0,,-9,,-9,,-9,5.0,16.6,10.4,108
2001-04-05,,,-9.0,,-9,,-9,,-9,5.0,14.2,9.4,108
2001-04-06,,,-9.0,,-9,,-9,,-9,6.8,17.5,12.1,108
2001-04-07,,,-9.0,,-9,,-9,,-9,10.6,16.7,13.6,108
2001-04-08,,,-9.0,,-9,,-9,,-9,10.2,21.5,16.3,108
2001-04-09,,,-9.0,,-9,,-9,,-9,13.2,28.2,20.8,108
2001-04-10,,0.0,-9.0,,-9,,-9,-99.9,-999,13.0,23.8,17.9,108
2001-04-11,6.5,6.5,11.28,1.6,1800,0.6,1800,10.0,32,5.9,13.4,9.3,108
2001-04-12,,,-9.0,,-9,,-9,,-9,5.4,14.3,9.1,108
2001-04-13,0.8,5.1,1.3,0.7,2300,0.3,2320,,-9,6.0,16.3,10.7,108
2001-04-14,4.3,,2.5,3.5,5,1.1,55,,-9,5.1,13.7,9.1,108
2001-04-15,,,-9.0,,-9,,-9,,-9,8.2,19.7,12.9,108
2001-04-16,,,-9.0,,-9,,-9,,-9,9.9,21.0,15.0,108
2001-04-17,,,-9.0,,-9,,-9,,-9,8.0,24.0,15.9,108
2001-04-18,,,-9.0,,-9,,-9,,-9,10.3,24.1,16.7,108
2001-04-19,,,-9.0,,-9,,-9,,-9,10.5,20.0,13.2,108
2001-04-20,,,-9.0,,-9,,-9,,-9,10.2,20.6,14.5,108
2001-04-21,,,-9.0,,-9,,-9,,-9,9.6,21.3,14.1,108
2001-04-22,,,-9.0,,-9,,-9,,-9,9.6,20.5,14.6,108
2001-04-23,,,-9.0,,-9,,-9,,-9,8.9,18.2,12.4,108
2001-04-24,,,-9.0,,-9,,-9,,-9,9.2,20.0,13.3,108
