date,inflow_avg,inflow_min,inflow_max
1975-01,3.43,0.40,7.30
1975-02,4.04,1.20,8.40
1975-03,12.47,1.90,28.50
1975-04,61.89,16.20,263.70
1975-05,45.39,13.80,117.50
1975-06,33.33,9.80,92.20
1975-07,373.26,34.60,1994.70
1975-08,80.74,20.30,308.30
1975-09,126.27,23.20,575.50
1975-10,20.27,8.20,57.50
1975-11,51.58,7.30,259.30
1975-12,11.24,2.00,70.60
1976-01,5.81,0.00,50.00
1976-02,12.61,2.00,83.90
1976-03,39.21,13.80,84.80
1976-04,43.20,20.40,142.90
1976-05,26.68,4.00,78.50
1976-06,12.78,4.60,26.50
1976-07,40.11,8.50,115.10
1976-08,383.01,19.40,2767.50
1976-09,61.36,19.50,183.10
1976-10,15.57,7.20,24.70
1976-11,14.69,1.50,27.00
1976-12,10.02,1.70,22.00
1977-01,2.12,0.00,5.20
1977-02,2.03,0.00,13.20
1977-03,8.85,1.00,15.30
1977-04,150.42,14.40,760.20
1977-05,46.92,12.00,113.60
1977-06,22.52,3.50,129.60
1977-07,100.39,3.00,541.60
1977-08,67.40,8.10,549.40
1977-09,24.69,5.30,63.90
1977-10,7.03,1.30,14.50
1977-11,23.07,5.60,104.60
1977-12,12.14,6.10,22.80
1978-01,6.85,3.20,12.90
1978-02,6.11,1.10,24.80
1978-03,48.47,13.90,102.60
1978-04,67.27,10.70,122.90
1978-05,11.99,3.60,29.00
1978-06,207.32,4.30,2056.00
1978-07,224.65,27.40,1275.20
1978-08,263.20,24.50,1955.00
1978-09,49.71,10.90,145.90
1978-10,31.11,6.10,157.30
1978-11,28.16,7.60,86.00
1978-12,13.22,5.70,21.70
1979-01,7.18,2.00,13.70
1979-02,14.56,3.40,53.80
1979-03,42.80,14.50,337.80
1979-04,132.63,47.30,455.20
1979-05,96.68,29.50,378.10
1979-06,223.23,15.00,1674.90
1979-07,112.36,45.30,243.20
1979-08,233.54,37.10,1167.90
1979-09,22.32,13.30,44.20
1979-10,8.92,2.80,17.60
1979-11,4.12,0.70,10.10
1979-12,3.62,0.40,12.40
1980-01,2.70,0.10,5.80
1980-02,1.08,0.10,4.70
1980-03,6.27,0.10,17.60
1980-04,118.53,9.60,696.10
1980-05,33.02,13.40,49.20
1980-06,14.56,6.80,28.00
1980-07,210.24,13.60,941.10
1980-08,128.40,45.30,495.90
1980-09,92.26,7.60,279.00
1980-10,13.59,3.70,31.40
1980-11,7.76,2.70,15.60
1980-12,4.58,0.10,11.50
1981-01,3.65,0.30,12.30
1981-02,4.70,0.50,12.60
1981-03,31.49,0.80,78.60
1981-04,41.39,19.60,128.80
1981-05,89.70,22.00,551.10
1981-06,119.60,10.50,1377.60
1981-07,414.40,36.10,2835.70
1981-08,74.99,6.00,675.20
1981-09,290.44,25.50,2586.70
1981-10,15.73,4.10,35.50
1981-11,22.06,9.10,90.50
1981-12,6.33,0.80,14.00
1982-01,5.82,0.30,27.80
1982-02,3.69,0.10,14.40
1982-03,15.72,1.60,50.80
1982-04,24.13,13.80,41.40
1982-05,61.08,6.20,414.00
1982-06,30.47,12.10,71.20
1982-07,48.09,1.90,286.60
1982-08,289.26,14.20,1391.10
1982-09,31.25,4.40,126.20
1982-10,8.57,4.30,22.80
1982-11,24.95,2.40,259.90
1982-12,26.85,4.50,125.80
1983-01,6.50,0.10,12.80
1983-02,5.65,0.90,10.00
1983-03,38.36,8.80,124.80
1983-04,90.89,40.60,314.60
1983-05,47.49,9.30,152.10
1983-06,9.29,2.70,24.70
1983-07,172.28,19.20,1084.30
1983-08,119.44,10.90,784.10
1983-09,100.18,22.70,263.90
1983-10,31.13,11.00,88.90
1983-11,9.97,4.90,17.80
1983-12,5.47,0.80,12.60
1984-01,3.46,0.30,9.10
1984-02,2.42,0.10,6.20
1984-03,6.63,0.50,13.00
1984-04,49.92,13.10,137.50
1984-05,50.30,11.30,222.60
1984-06,35.60,11.40,114.10
1984-07,202.27,16.90,1864.90
1984-08,199.84,12.60,852.40
1984-09,607.30,21.50,7405.60
1984-10,13.19,7.30,21.90
1984-11,8.65,1.80,19.80
1984-12,5.81,0.10,14.60
1985-01,1.03,0.10,4.90
1985-02,3.69,0.10,10.70
1985-03,21.46,0.50,145.80
1985-04,61.69,25.00,137.90
1985-05,107.55,14.30,731.70
1985-06,18.97,4.60,89.90
1985-07,29.96,3.20,113.60
1985-08,101.86,5.50,554.00
1985-09,181.30,46.30,667.40
1985-10,151.17,24.30,1051.70
1985-11,24.47,11.60,39.40
1985-12,13.11,4.20,36.60
1986-01,8.09,3.50,17.60
1986-02,5.07,2.00,11.70
1986-03,21.02,0.80,50.00
1986-04,52.08,9.30,273.80
1986-05,33.00,14.50,85.80
1986-06,18.98,3.80,84.40
1986-07,133.10,9.80,448.40
1986-08,205.23,32.80,1217.30
1986-09,88.76,20.40,388.60
1986-10,88.65,18.60,802.90
1986-11,21.77,9.10,37.40
1986-12,14.24,6.20,25.10
1987-01,9.28,3.30,27.00
1987-02,41.19,5.00,224.70
1987-03,42.02,14.80,72.60
1987-04,71.74,33.40,176.50
1987-05,42.80,7.30,310.50
1987-06,83.14,8.40,507.60
1987-07,219.83,3.50,1288.10
1987-08,411.59,92.30,1481.00
1987-09,107.99,4.50,919.50
1987-10,8.98,2.10,18.40
